"ID","class1","class2","class3","class4","class5","class6","class7","class8","class9"
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,1,0
3,0,0,1,0,1,0,0,0,0
4,0,0,1,0,0,0,1,1,0
5,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,1,2.58965952186888e-222,0,0
7,1,0,0,0,0,0,0,1,0
8,0,0,2.26203531131928e-127,0,0,0,0,0,0
9,0,0,0,0,0,0,0.999999999964811,8.54758606140649e-249,0
10,1,1,0,0,0,1.31806690641421e-201,1,0,0
11,0,1,0,0,0,0,0,0,0
12,0,0,1,0,0,1.62243233806346e-112,0,0,1
13,0,0,0,0,1,0,0,0,1
14,0,1,0,7.1218213079735e-18,1,1,0,0,0
15,1.11942440185422e-170,0,5.20106775630676e-197,0,0,0,0,0,0
16,0,1,1,0,0,0,0,0,1
17,0,0,6.1729253524102e-171,0.999991839225592,1,0,0,0,0
18,1,1,1,0,0,0,1,0,0
19,0,0,0.999999958169002,0,0,0,1,0,0
20,0,0,1,8.66818178684543e-123,0,1,0,0,3.27263124240247e-256
21,0,0,0,1.24314999090777e-266,0,0,0,0,0
22,0,1,0,1,0,3.62993890171773e-277,1,0,0
23,1,6.33197239936787e-141,0,5.47003702562275e-291,0,3.969598035595e-275,0,0,0
24,4.29472865486679e-209,0,1.36018075317091e-97,0,0,0,0,0,1
25,0,2.1983183531116e-61,2.61222405448314e-160,1,0,0,0,0,0
26,0,0,0,0,7.11101280712823e-150,0,5.16459061938376e-10,0,0
27,0,0,0,1.79323527019298e-197,0,1,0.998764014033578,0,0
28,1,1,0,0,0,0,0,0,1
29,0,0,1,0,0,6.34165699911296e-46,3.98251129855479e-258,0,0
30,0,0,0,0,0,0,0,0,0
31,0,3.4308922472793e-68,0,0,0,0,0,0,0
32,0,0,0,0,6.59150793002329e-09,0,0,0,0
33,0,0,1,6.04372310214333e-285,0,0,0,0,0
34,0,0,0,0,1,2.89791900465173e-265,1.34297201362068e-243,0,1
35,0,0,1,0,0,0,0,1.75693677873719e-124,5.05390715967656e-130
36,0,2.9502021154615e-196,0,0,0,0,0,0,0
37,0,0,0,0,1,1,0,0,0
38,0,0,0,0,0,1,0,0,1
39,1.4379849341302e-195,0,0,0,1.15972120626288e-134,0,0,0,0
40,8.31096347809932e-157,0,0,0,0,0,0,0,2.87946850480536e-216
41,0,0,1,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0
43,0.999999999979735,7.93916114702855e-136,0,1,1,1,0,0,0
44,0,0,0,0,0,1,0,0,0
45,0,5.11641318260249e-151,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,1
47,0,0,0,3.57488770366296e-304,0,0,1.16920462557033e-296,0,0
48,0,1,1,0,0,0,0,0,1
49,1,0,0,0,0,0,0,1,0
50,0,0,0,0,1,0,1,0,0
51,1.66405092905718e-181,0,0,0,0,0,0,1,0
52,0,8.4845567616581e-233,0,0,1,0,0,0,0
53,0,0,1,3.41570843181663e-304,0,1,0,0,0
54,0,0,0,0,0,0,0,0,0
55,0,0,0,0,1,0,0,0,0
56,0,0,0,1,0,1,7.32626672295835e-304,0,0
57,0,1,0,0,0,0,0,0,1
58,0,0,0,0,0,1,0,5.05666076066205e-183,0
59,0,1,0,1,0,0,0,0,0
60,0,0,0,0,0,0,0,0,1
61,0,1,0,0,0,0,0,0,0
62,0,0,1,3.70128971625535e-257,1,0,0,0,0
63,1,0,1,0,1,0,1,0,0
64,0,0,0,0,1,0,1,1.52139957819952e-60,1
65,0,0,1,0,0,1,1,0,0
66,0,0,0,0,1,0,0,0,0
67,0,0,0,0,1.17103921741467e-226,0,0,0,0
68,1,0,0,0,2.44813281814321e-270,0,1.85115731422046e-155,0,1
69,0,0,1,0,0,1,0,1.58067749828483e-266,0
70,0,1,1,1,1,0,0,0,0
71,0,0,0,1,0,1,0,0,0
72,0,0,1.16440856366927e-43,0,0,0,0,1,0
73,1,0,5.04105983827629e-276,1,0,0,0,1.82427186395075e-84,0
74,0,1.20037260507214e-243,0,1,0,0,0,0,1
75,0,0.999997811857565,0,0,0,0,0,4.57402747150293e-40,1.95388558184147e-266
76,0,1,0,0,1,0,1,0,1
77,0,0,0,0,1,1,0,1,0
78,0,0,1,0,1,0,1,1,0
79,1,0,0,0,0,0,0,0,1
80,2.34677043342026e-88,0,0,1,1,0,0,1,0
81,6.2032749684449e-270,0,0,8.56746039903515e-209,1,1,1,0,0
82,0,1,0,1.34349947684045e-173,0,0,0,0,0
83,0,0,0,6.81535195704146e-246,0,1,1,0,0
84,0,0,0,0,0,0,0,0,0
85,2.28003271652106e-180,0,0,0,0,0,0,0,0
86,0,0,1,0,0,0,0,0,0
87,0,0,0,0,1.62459014089666e-75,2.46574304574102e-231,1.03912930022626e-47,0,0
88,0,5.02229070942301e-174,0,0,0,1,0,0,0
89,0,0.345097005796615,0,0,0,0,0,0,1
90,0,0,1,8.89473858670175e-190,0,0,0,0,0
91,0,0,1,0,5.97972540230556e-81,0,1.22588527425123e-152,0,1
92,0,0,1,1,0,0,0,0,1
93,0,0,0,1,0,0,0,0,0
94,0,0,0,0,5.46760197188119e-12,1,0,0,0
95,0,0,0,0,0,0,1,0,0
96,0,0,0,0,1.60879807834132e-276,1,0,1,1.60265021659201e-09
97,0,0,0,0,9.22518264485707e-295,0,0,0,0
98,0,1,0,9.71090323879889e-114,6.92625042598545e-89,0,0,0,0
99,0,0,0,1.78312461960968e-260,1,0,3.08874892606537e-157,0,0
100,0,0,1,0,1,0,0,1,0
101,0,0,0,0,0,0,0,1.59133173896506e-89,1
102,0,1,0,4.7357308227575e-33,0,0,1,0,0
103,0,1,0,0,0,0,0,6.25003784604141e-132,0
104,0,0,0,1,0,1,0,0,1
105,0,1,1,0,0,0,0,0,0
106,0,0,1,0,0,0,0,0,1
107,0,0,0,1,0,0,0,0,0
108,1,0,0,0,0,0,1,0,0
109,1,0,0,0,0,0,0,1,0
110,0,1,0,1.12620052668872e-160,0,1.45046629713806e-84,0,0,0
111,9.30415297436589e-276,0,5.01753053169428e-24,2.20100887506933e-15,0,0,0,1,1
112,9.11919486396335e-38,1,0,1,0,0,0,0,0
113,0,0,1.39424521921222e-13,0,0,1,1.06324940174782e-186,0,1
114,1.53177475839448e-36,0,0,1.53945314935726e-295,0,0,0,0,0
115,1.63592551950226e-254,0,0,1,1.97016987737249e-208,0,0,0,0
116,0,0,0,0,0,1,0,0,0
117,0,1,0,1,0,0,0,0,0
118,0,0,1,0,0,1,0,1,0
119,0,1,0,8.16018974993319e-24,0,1,1,1,1
120,0,1.87774120278453e-38,0,0,0,0,0,0,0
121,0,0,0,1.25800411343537e-226,0,0,0,1.53878411447657e-61,0
122,1,0,0,0,1,0,4.27592971039465e-307,7.30620172859721e-254,1
123,0,0,0,0,1,0,0,0,0
124,2.30769435163997e-192,1,0,4.64089873874581e-304,0,0,0,6.09913122896778e-233,0
125,1,1,0,0,1,1,0,0,0
126,0,0,2.55793188290785e-262,0,1.4547772308498e-190,0,0,0,0
127,3.00627369029556e-26,1,0,0,2.88150755400046e-72,0,1.52258225401445e-150,1,1
128,1,1,0,0,0,0,0,1.35237460203202e-213,0
129,0,0,0,0,0,0,0,0,0
130,0,1.13018059546877e-253,0,4.19166438106951e-174,0,0,1,0,0
131,1,6.51791049200685e-148,0,0,0,1,0,0,0
132,0,0,0,0,0,4.9813423733666e-182,1,0,1
133,0,0,1,0,0,1,0,0,0
134,1,0,8.98186716540725e-196,0,1.00979314947542e-09,0,4.98476043833614e-111,1,0
135,4.36356060716496e-207,0,0,1,0,1,1.42234722139754e-198,0,0
136,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,1,1,0,0
138,1,0,0,0,4.88070410263857e-214,1,0,0,1
139,0,0,0,0,0,0,0,1,0
140,0,0,1,0,0,0,0,0,1
141,0.00389154555715471,0,1,0,0,0,0,0,0
142,0,0,2.84364419102517e-254,2.99880595000133e-245,0,1,0,0,0
143,0,0,1,0,1,0,0,1,5.82731129623103e-272
144,0,0,0,1,0,0,0,0,0
145,1,0,3.44240526941297e-276,0,0,0,0,0,1
146,1,0,0,0,0.00247842471783868,0,1,0,2.3596153509557e-242
147,0,0,0,0,0,0,0,0,1
148,0,1,0,0,0,0,1.18637274922285e-214,0,0
149,0,0,0,0,5.65298874433454e-295,0,0,0,1
150,0,3.44426398053739e-263,0,0,0,9.26999343440676e-05,3.11470383495578e-292,9.71766068299578e-124,1
